"val","TempMedia","TempMin","TempMax","pais"
1865,20.4568333333333,14.835,25.351,"Mexico"
1866,8.33433333333333,-4.378,21.679,"United States"
1866,20.5665,15.372,25.141,"Mexico"
1867,8.509,-4.794,21.011,"United States"
1867,21.294,15.492,25.771,"Mexico"
1868,8.20741666666667,-6.279,22.242,"United States"
1868,20.4705833333333,14.319,25.5,"Mexico"
1869,8.31125,-2.946,21.268,"United States"
1869,20.55725,13.45,25.258,"Mexico"
1870,8.8295,-3.945,22.188,"United States"
1870,20.4380833333333,12.918,25.158,"Mexico"
1871,8.70675,-3.811,21.367,"United States"
1871,20.5135,14.123,25.687,"Mexico"
1872,8.00075,-4.951,21.065,"United States"
1872,20.2730833333333,13.151,25.28,"Mexico"
1873,8.06308333333333,-5.177,21.429,"United States"
1873,20.3239166666667,13.614,24.793,"Mexico"
1874,8.768,-3.292,22.079,"United States"
1874,20.4370833333333,15.01,25.561,"Mexico"
1875,7.84966666666667,-7.57,21.284,"United States"
1875,20.2955,13.565,25.186,"Mexico"
1876,8.099,-5.554,21.524,"United States"
1876,20.23475,13.191,24.95,"Mexico"
1877,8.69658333333333,-4.87,21.461,"United States"
1877,20.4984166666667,14.414,25.43,"Mexico"
1878,9.01716666666667,-4.487,22.029,"United States"
1878,20.6356666666667,14.276,25.834,"Mexico"
1879,8.68325,-4.741,21.696,"United States"
1879,20.6133333333333,15.051,25.467,"Mexico"
1880,8.11033333333333,-4.767,20.85,"United States"
1880,20.0634166666667,15.015,25.026,"Mexico"
1881,8.6435,-6.51,21.669,"United States"
1881,20.3305833333333,13.006,25.431,"Mexico"
1882,8.36991666666667,-3.498,20.368,"United States"
1882,20.17025,14.629,24.854,"Mexico"
1883,7.94225,-6.158,20.922,"United States"
1883,20.1180833333333,13.661,24.954,"Mexico"
1884,7.958,-5.94,20.645,"United States"
1884,20.1258333333333,13.506,25.368,"Mexico"
1885,8.15841666666667,-6.103,21.241,"United States"
1885,20.31025,14.194,24.851,"Mexico"
1886,8.18183333333333,-7.581,21.862,"United States"
1886,20.1505833333333,13.671,25.258,"Mexico"
1887,8.14358333333333,-5.627,21.419,"United States"
1887,19.91875,13.485,24.535,"Mexico"
1888,8.17283333333333,-7.093,21.189,"United States"
1888,20.04475,13.663,24.807,"Mexico"
1889,8.79808333333333,-3.82,21.122,"United States"
1889,20.2820833333333,14.529,25.046,"Mexico"
1890,8.55916666666667,-4.113,21.513,"United States"
1890,20.23825,15.374,24.525,"Mexico"
1891,8.31675,-2.881,20.225,"United States"
1891,19.98225,14.077,25.06,"Mexico"
1892,8.178,-5.101,20.737,"United States"
1892,20.1945833333333,13.734,25.031,"Mexico"
1893,8.171,-5.757,21.334,"United States"
1893,20.1468333333333,14.116,24.62,"Mexico"
1894,8.46675,-4.817,21.031,"United States"
1894,20.2443333333333,14.467,24.541,"Mexico"
1895,7.84733333333333,-5.413,20.119,"United States"
1895,20.1828333333333,14.442,24.722,"Mexico"
1896,8.48358333333333,-3.884,21.129,"United States"
1896,20.7739166666667,15.295,25.694,"Mexico"
1897,8.47316666666667,-4.413,20.935,"United States"
1897,20.5029166666667,14.509,24.732,"Mexico"
1898,8.42791666666667,-4.255,21.192,"United States"
1898,20.0606666666667,13.949,24.171,"Mexico"
1899,8.16683333333333,-6.011,21.057,"United States"
1899,20.09725,14.082,24.725,"Mexico"
1900,9.02158333333333,-2.912,21.134,"United States"
1900,20.5215833333333,15.128,25.328,"Mexico"
1901,8.49491666666667,-3.827,22.418,"United States"
1901,20.28525,14.59,24.802,"Mexico"
1902,8.454,-4.107,20.688,"United States"
1902,20.5815833333333,14.718,25.373,"Mexico"
1903,7.97725,-4.273,20.549,"United States"
1903,19.9736666666667,14.604,24.658,"Mexico"
1904,8.20066666666667,-5.517,20.264,"United States"
1904,20.0905833333333,14.077,24.249,"Mexico"
1905,8.40233333333333,-4.786,20.473,"United States"
1905,20.2353333333333,13.646,24.901,"Mexico"
1906,8.56008333333333,-3.88,20.545,"United States"
1906,20.2349166666667,14.042,25.211,"Mexico"
1907,8.394,-3.011,20.662,"United States"
1907,20.5559166666667,15.502,24.468,"Mexico"
1908,8.75558333333333,-2.655,21.004,"United States"
1908,20.54575,15.477,25.076,"Mexico"
1909,8.22183333333333,-5.667,20.885,"United States"
1909,20.57075,14.477,25.068,"Mexico"
1910,8.75791666666667,-4.26,21.38,"United States"
1910,20.42975,14.897,24.931,"Mexico"
1911,8.73791666666667,-3.006,20.892,"United States"
1911,20.6214166666667,14.593,24.942,"Mexico"
1912,8.14091666666667,-5.591,20.578,"United States"
1912,19.987,14.652,24.405,"Mexico"
1913,8.55216666666667,-4.323,21.019,"United States"
1913,19.8983333333333,14.334,24.352,"Mexico"
1914,8.8765,-3.777,21.429,"United States"
1914,20.21175,14.446,24.503,"Mexico"
1915,8.64825,-3.958,20.383,"United States"
1915,20.3585,14.239,25.546,"Mexico"
1916,8.18008333333333,-4.817,21.586,"United States"
1916,20.55175,15.293,25.553,"Mexico"
1917,7.6695,-5.336,21.49,"United States"
1917,20.4411666666667,15.408,24.956,"Mexico"
1918,8.50125,-6.737,20.916,"United States"
1918,20.4696666666667,14.153,24.918,"Mexico"
1919,8.538,-4.003,21.681,"United States"
1919,20.3194166666667,13.679,24.935,"Mexico"
1920,8.1845,-4.624,20.752,"United States"
1920,20.4203333333333,14.686,25.173,"Mexico"
1921,9.59566666666667,-2.321,21.784,"United States"
1921,20.8476666666667,15.692,25.072,"Mexico"
1922,8.76816666666667,-4.678,20.617,"United States"
1922,20.773,14.917,25.069,"Mexico"
1923,8.76033333333333,-3.042,21.53,"United States"
1923,20.5130833333333,15.53,24.625,"Mexico"
1924,8.05233333333333,-5.418,20.3,"United States"
1924,20.4983333333333,14.254,25.449,"Mexico"
1925,9.01641666666667,-5.223,21.496,"United States"
1925,20.5998333333333,13.978,24.987,"Mexico"
1926,9.14025,-3.186,21.291,"United States"
1926,20.6,13.674,25.002,"Mexico"
1927,8.71933333333333,-4.36,21.027,"United States"
1927,20.9271666666667,15.074,24.901,"Mexico"
1928,8.876,-2.159,21.151,"United States"
1928,20.7700833333333,15.148,25.848,"Mexico"
1929,8.4395,-4.485,21.211,"United States"
1929,20.5893333333333,15.26,25.126,"Mexico"
1930,8.73766666666667,-5.784,21.939,"United States"
1930,20.6135833333333,14.833,24.96,"Mexico"
1931,9.56075,-1.843,22.143,"United States"
1931,20.471,14.195,24.895,"Mexico"
1932,8.5395,-3.657,21.495,"United States"
1932,20.5839166666667,15.05,25.604,"Mexico"
1933,9.03058333333333,-3.768,21.917,"United States"
1933,20.9126666666667,15.587,25.318,"Mexico"
1934,9.82658333333333,-2.542,22.412,"United States"
1934,20.8763333333333,15.101,25.076,"Mexico"
1935,8.7425,-3.595,22.09,"United States"
1935,20.5556666666667,15.342,24.685,"Mexico"
1936,8.92225,-6.002,22.834,"United States"
1936,20.69625,15.615,25.425,"Mexico"
1937,8.73075,-4.735,21.769,"United States"
1937,20.9144166666667,15.84,25.451,"Mexico"
1938,9.47183333333333,-3.17,21.359,"United States"
1938,20.7415833333333,15.623,24.796,"Mexico"
1939,9.3075,-3.239,21.899,"United States"
1939,20.6385,15.331,25.006,"Mexico"
1940,9.09716666666667,-5.919,21.706,"United States"
1940,20.7551666666667,14.335,25.216,"Mexico"
1941,9.26608333333333,-2.843,21.365,"United States"
1941,20.76225,15.243,25.138,"Mexico"
1942,8.91933333333333,-3.191,21.558,"United States"
1942,20.7435833333333,15.283,25.252,"Mexico"
1943,9.0035,-4.731,21.65,"United States"
1943,20.7503333333333,15.046,25.472,"Mexico"
1944,8.89816666666667,-2.773,21.05,"United States"
1944,20.4958333333333,14.14,25.512,"Mexico"
1945,8.67125,-3.87,20.995,"United States"
1945,21.1209166666667,15.593,25.543,"Mexico"
1946,9.17958333333333,-2.595,21.57,"United States"
1946,21.12375,14.758,25.298,"Mexico"
1947,8.83608333333333,-3.823,21.168,"United States"
1947,20.742,14.644,25.646,"Mexico"
1948,8.48166666666667,-4.414,21.058,"United States"
1948,21.0521666666667,14.452,25.564,"Mexico"
1949,8.88808333333333,-5.259,21.593,"United States"
1949,20.9160833333333,14.34,25.293,"Mexico"
1950,8.65641666666667,-2.893,20.4,"United States"
1950,21.25675,15.921,25.1,"Mexico"
1951,8.41658333333333,-4.354,21.501,"United States"
1951,21.1175833333333,15.052,25.599,"Mexico"
1952,8.97941666666667,-3.232,21.589,"United States"
1952,20.8873333333333,15.253,25.549,"Mexico"
1953,9.53041666666667,-1.686,21.797,"United States"
1953,21.0715,14.447,26.005,"Mexico"
1954,9.41058333333333,-3.65,22.183,"United States"
1954,21.0985,15.636,25.089,"Mexico"
1955,8.51716666666667,-3.522,21.839,"United States"
1955,20.6335833333333,14.339,25.288,"Mexico"
1956,8.69991666666667,-3.87,21.202,"United States"
1956,20.72375,15.092,24.883,"Mexico"
1957,9.12633333333333,-4.243,21.762,"United States"
1957,21.10475,16.118,25.908,"Mexico"
